student_id,risk_percent,risk_tier,top_drivers,intervention_1,intervention_2,summary
Student #67,88.8%,HIGH,"G1, failures, absences",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (88.8%). Primary concern: G1. Immediate action required.
Student #72,87.6%,HIGH,"G1, failures, absences",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (87.6%). Primary concern: G1. Immediate action required.
Student #51,85.9%,HIGH,"G1, failures, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (85.9%). Primary concern: G1. Immediate action required.
Student #54,84.7%,HIGH,"G1, failures, absences",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (84.7%). Primary concern: G1. Immediate action required.
Student #0,84.1%,HIGH,"G1, failures, age",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (84.1%). Primary concern: G1. Immediate action required.
Student #27,82.7%,HIGH,"G1, failures, age",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (82.7%). Primary concern: G1. Immediate action required.
Student #78,81.0%,HIGH,"G1, age, romantic",This is the strongest signal available — treat as the primary concern. Schedule ,Pastoral check-in to ensure wellbeing. Reinforce academic goals and long-term as,[mid_semester] Student is at HIGH risk (81.0%). Primary concern: G1. Immediate action required.
Student #20,80.0%,HIGH,"G1, absences, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at HIGH risk (80.0%). Primary concern: G1. Immediate action required.
Student #45,79.2%,HIGH,"G1, goout, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at HIGH risk (79.2%). Primary concern: G1. Immediate action required.
Student #44,77.1%,HIGH,"G1, failures, absences",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (77.1%). Primary concern: G1. Immediate action required.
Student #59,76.6%,HIGH,"G1, age, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at HIGH risk (76.6%). Primary concern: G1. Immediate action required.
Student #34,76.3%,HIGH,"G1, goout, schoolsup",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at HIGH risk (76.3%). Primary concern: G1. Immediate action required.
Student #26,75.9%,HIGH,"G1, failures, age",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at HIGH risk (75.9%). Primary concern: G1. Immediate action required.
Student #33,74.7%,MEDIUM,"G1, support_index, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Holistic case review — multiple support layers appear weak simultaneously. Coord,[mid_semester] Student is at MEDIUM risk (74.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #63,73.7%,MEDIUM,"G1, failures, absences",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at MEDIUM risk (73.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #4,72.5%,MEDIUM,"G1, support_index, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Holistic case review — multiple support layers appear weak simultaneously. Coord,[mid_semester] Student is at MEDIUM risk (72.5%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #24,72.4%,MEDIUM,"G1, failures, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at MEDIUM risk (72.4%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #3,70.2%,MEDIUM,"G1, failures, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at MEDIUM risk (70.2%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #28,69.0%,MEDIUM,"G1, failures, romantic",This is the strongest signal available — treat as the primary concern. Schedule ,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[mid_semester] Student is at MEDIUM risk (69.0%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #46,67.7%,MEDIUM,"G1, absences, engagement",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (67.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #23,65.8%,MEDIUM,"G1, absences, age",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (65.8%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #22,65.2%,MEDIUM,"G1, famrel, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at MEDIUM risk (65.2%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #65,64.4%,MEDIUM,"G1, age, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at MEDIUM risk (64.4%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #1,64.0%,MEDIUM,"G1, famrel, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at MEDIUM risk (64.0%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #2,63.7%,MEDIUM,"G1, Fjob_other, risk_behavior",This is the strongest signal available — treat as the primary concern. Schedule ,Confidential wellbeing conversation covering lifestyle balance. Consider referra,[mid_semester] Student is at MEDIUM risk (63.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #43,61.5%,MEDIUM,"G1, absences, age",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (61.5%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #31,61.1%,MEDIUM,"G1, absences, Fjob_other",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (61.1%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #68,61.0%,MEDIUM,"G1, absences, goout",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (61.0%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #69,60.8%,MEDIUM,"G1, absences, failures",This is the strongest signal available — treat as the primary concern. Schedule ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[mid_semester] Student is at MEDIUM risk (60.8%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #8,60.6%,MEDIUM,"G1, age, guardian_other",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at MEDIUM risk (60.6%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #17,59.6%,MEDIUM,"G1, goout, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at MEDIUM risk (59.6%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #40,59.0%,MEDIUM,"G1, support_index, schoolsup",This is the strongest signal available — treat as the primary concern. Schedule ,Holistic case review — multiple support layers appear weak simultaneously. Coord,[mid_semester] Student is at MEDIUM risk (59.0%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #41,54.7%,MEDIUM,"G1, age, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at MEDIUM risk (54.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #49,53.7%,MEDIUM,"G1, goout, Fjob_other",This is the strongest signal available — treat as the primary concern. Schedule ,Discuss time management and study-life balance. Introduce structured weekly stud,[mid_semester] Student is at MEDIUM risk (53.7%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #53,50.8%,MEDIUM,"G1, Fjob_teacher, famrel",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at MEDIUM risk (50.8%). Primary concern: G1. Intervention recommended within 2 weeks.
Student #50,47.9%,LOW,"G1, famrel, internet",This is the strongest signal available — treat as the primary concern. Schedule ,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[mid_semester] Student is at LOW risk (47.9%). Primary concern: G1. Monitor over next month.
