student_id,risk_percent,risk_tier,top_drivers,intervention_1,intervention_2,summary
Student #67,89.1%,HIGH,"failures, absences, famrel",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at HIGH risk (89.1%). Primary concern: failures. Immediate action required.
Student #44,89.0%,HIGH,"failures, absences, goout",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at HIGH risk (89.0%). Primary concern: failures. Immediate action required.
Student #54,85.8%,HIGH,"failures, absences, famrel",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at HIGH risk (85.8%). Primary concern: failures. Immediate action required.
Student #55,81.4%,HIGH,"support_index, absences, engagement",Holistic case review — multiple support layers appear weak simultaneously. Coord,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at HIGH risk (81.4%). Primary concern: support_index. Immediate action required.
Student #72,73.8%,MEDIUM,"failures, risk_behavior, goout",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Confidential wellbeing conversation covering lifestyle balance. Consider referra,[early] Student is at MEDIUM risk (73.8%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #28,73.0%,MEDIUM,"failures, address_U, romantic",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Pastoral check-in to ensure wellbeing. Reinforce academic goals and long-term as,[early] Student is at MEDIUM risk (73.0%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #0,72.8%,MEDIUM,"failures, absences, age",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at MEDIUM risk (72.8%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #23,72.2%,MEDIUM,"absences, goout, age",Contact parent/guardian to discuss attendance pattern. Create an attendance cont,Discuss time management and study-life balance. Introduce structured weekly stud,[early] Student is at MEDIUM risk (72.2%). Primary concern: absences. Intervention recommended within 2 weeks.
Student #51,71.9%,MEDIUM,"failures, goout, risk_behavior",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Discuss time management and study-life balance. Introduce structured weekly stud,[early] Student is at MEDIUM risk (71.9%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #3,70.5%,MEDIUM,"absences, failures, famrel",Contact parent/guardian to discuss attendance pattern. Create an attendance cont,Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,[early] Student is at MEDIUM risk (70.5%). Primary concern: absences. Intervention recommended within 2 weeks.
Student #5,70.4%,MEDIUM,"absences, famrel, age",Contact parent/guardian to discuss attendance pattern. Create an attendance cont,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[early] Student is at MEDIUM risk (70.4%). Primary concern: absences. Intervention recommended within 2 weeks.
Student #26,70.1%,MEDIUM,"failures, risk_behavior, age",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Confidential wellbeing conversation covering lifestyle balance. Consider referra,[early] Student is at MEDIUM risk (70.1%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #9,68.8%,MEDIUM,"failures, absences, goout",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Contact parent/guardian to discuss attendance pattern. Create an attendance cont,[early] Student is at MEDIUM risk (68.8%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #6,67.9%,MEDIUM,"failures, age, romantic",Enrol in academic recovery programme. Assign a peer mentor who excelled in previ,Pastoral check-in to ensure wellbeing. Reinforce academic goals and long-term as,[early] Student is at MEDIUM risk (67.9%). Primary concern: failures. Intervention recommended within 2 weeks.
Student #4,63.4%,MEDIUM,"support_index, famrel, schoolsup",Holistic case review — multiple support layers appear weak simultaneously. Coord,Refer to school counsellor for wellbeing check. Ensure student has a trusted adu,[early] Student is at MEDIUM risk (63.4%). Primary concern: support_index. Intervention recommended within 2 weeks.
